sub_id,company_id,plan_tier,mrr_amount,status,cancellation_date
SUB-88E41E,BA3F5002,Enterprise,1483.6936284393794,Active,
SUB-997489,404E70EC,Basic,200.760183613677,Churned,2021/06/14
SUB-264203,75799216,  Basic ,190.7058856345018,Active,
SUB-073DDD,47B61FD5,Basic,190.9876353361469,Active,
SUB-92E736,03FB03D7,Pro,499.9706787047972,Active,
SUB-7EA7F1,4F8D43D2,Enterprise,1523.9798958922463,Churned,2022/09/22
SUB-CDC6F9,13A96DE2,Basic,199.30148177210995,Active,
SUB-4BC2F3,484B9122,Enterprise,1426.6561263187148,Active,
SUB-B50D56,53719ABE,Basic,186.17405118214046,Active,
SUB-EFD308,D608BFDF,pro ,505.71587074953896,Active,
SUB-9BBB9B,2A94AEEC,Basic,224.65601777268103,Active,
SUB-4775B2,6E900F63,Pro,498.15378649533983,Churned,2023/11/04
SUB-6A165C,516A4E15,pro ,581.7093928791724,Active,
SUB-D0CB36,5B2C92E2,pro ,458.811494233197,Active,
SUB-5396D9,8A8300DB,pro ,505.1276339310303,Active,
SUB-9031C8,F2F3190A,pro ,553.0680981587586,Active,
SUB-53A2B9,863BDB80,  Basic ,217.1949043489602,Active,
SUB-E1C745,E30D1260,Pro,516.7763864719591,Active,
SUB-E25BE3,2580BB34,  Basic ,213.2108120894834,Active,
SUB-225F2B,8950488A,Pro,561.61792597159,Active,
SUB-CBF9F3,9229C9E2,Basic,206.87561073066328,Active,
SUB-87B1EA,7761D152,  Basic ,201.0404629091093,Active,
SUB-2101C2,6F0BE295,  Basic ,193.0572868574992,Active,
SUB-069A06,E58EB7FF,pro ,525.8648111249043,Active,
SUB-A213F9,AC9F08BE,Basic,186.17969654693837,Active,
SUB-94EB03,4734F915,Enterprise,1266.5342136566956,Active,
SUB-79FE45,E71C6465,Pro,554.7347028547816,Active,
SUB-9978C5,7C738344,pro ,585.6836647606789,Churned,2022/01/20
SUB-3D5455,65F4D956,  Basic ,235.56515594366027,Active,
SUB-BD2010,CC3A93EA,pro ,597.1944116141328,Active,
SUB-39C1A0,B788E601,Pro,520.1234062953915,Active,
SUB-CA6AE6,39790B3B,  Basic ,199.43737645579364,Churned,2021/12/06
SUB-6C55F9,012A977A,  Basic ,191.6122097841594,Active,
SUB-C8B133,1A1668C3,pro ,579.9004065514604,Active,
SUB-09A9BB,2EF8E723,Enterprise,1301.5287276504464,Active,
SUB-1E3CAA,3095823D,pro ,493.955690086738,Active,
SUB-B34AFD,67D5B81B,Pro,472.10757855097444,Active,
SUB-12A2A2,CB550563,pro ,585.8887036360296,Active,
SUB-6F824F,DA6F92FB,  Basic ,182.90344211242413,Active,
SUB-C18AE2,CBAFE9FD,  Basic ,217.24849735883032,Active,
SUB-2CEEC5,E3D6C3A1,Pro,453.89925537052216,Active,
SUB-8BB932,4E219E02,Basic,233.5073150209395,Active,
SUB-426331,CBC57DEB,pro ,,Churned,2023/03/18
SUB-8F2BED,18BF6B7C,  Basic ,202.44898480083802,Active,
SUB-7092FE,A38CB15B,Basic,202.32287600054795,Active,
SUB-F09D1E,D422DFD4,Enterprise,1337.5286035681822,Active,
SUB-DA5715,E959EAAA,Enterprise,1398.0456142380724,Active,
SUB-5242AD,4AC1D90F,Basic,238.26778125553363,Active,
SUB-425677,9029377B,Pro,527.8207187692452,Active,
SUB-DCFC7B,1FDB98FF,pro ,454.95099308991746,Churned,2024/05/05
SUB-EF1764,FA60F520,Enterprise,1321.5079163439334,Active,
SUB-D0A02E,BB552A9B,Pro,583.8247036596771,Active,
SUB-F66B5A,9C6CD1D3,Pro,553.668748720897,Churned,2023/03/10
SUB-A0D37D,700F5A32,Enterprise,1513.0320077997746,Active,
SUB-ACCAE8,3D528DC9,Pro,585.1378497144213,Active,
SUB-78C5A7,099116BA,Enterprise,1198.9251579953593,Churned,2022/05/14
SUB-5514E0,12CF1688,Pro,524.8578663943848,Active,
SUB-1828CB,8E195EA8,  Basic ,201.8549874061075,Active,
SUB-757622,7095BD06,Basic,194.06116226350187,Active,
SUB-6CE37E,1FFF6F3B,  Basic ,208.04012646856168,Churned,2024/06/06
SUB-7C3E3C,496797BD,  Basic ,187.47326888297516,Active,
SUB-C9E71C,439C086A,Basic,215.337216878688,Churned,2021/12/18
SUB-A8E21E,0B1DD6F7,Basic,219.1821117079725,Churned,2022/05/12
SUB-ADDD92,7FF11D8F,Pro,556.0475171532959,Active,
SUB-2F6E79,AE4D254C,Basic,229.03911812675736,Active,
SUB-83614F,E662E8EE,Basic,202.41991782496643,Active,
SUB-DFC329,4152965D,  Basic ,224.8967200357002,Active,
SUB-B55439,8E8A328F,Basic,180.0574950655882,Churned,2022/06/26
SUB-1FAC03,F2542E48,Basic,192.26790076149322,Active,
SUB-17456A,CFB52DCF,Pro,557.4845210940166,Churned,2023/08/12
SUB-6B8371,94B30110,pro ,542.9299292555098,Active,
SUB-3FF0B7,FFF81B86,  Basic ,186.3119964955357,Active,
SUB-672DF2,B16843E4,  Basic ,218.14336774557486,Churned,2024/05/23
SUB-5DAF8E,FA4F5F6C,Enterprise,1422.383564754855,Active,
SUB-5EB275,BF13E428,Enterprise,1468.2123374885268,Active,
SUB-20F5CC,FF855573,pro ,474.7674288370865,Active,
SUB-E005E8,F298226C,Pro,498.80736813803804,Active,
SUB-7DD00E,1FA422AB,  Basic ,183.13055495177045,Churned,2024/04/27
SUB-C134A6,2DB9FA4D,Pro,,Active,
SUB-7B8DF7,BC673989,Basic,197.5382631317739,Active,
SUB-BB4BF1,2CFBE3E5,Basic,187.3120623227884,Active,
SUB-5251A0,CCD76D09,Basic,193.3124188984001,Active,
SUB-E0BC98,8C6C3455,Enterprise,1221.4238545245369,Active,
SUB-920227,BFA87BBB,  Basic ,,Active,
SUB-2ED2E8,9213CEA4,Enterprise,1302.661263499442,Active,
SUB-62C0CF,51A33294,Pro,569.0773355640192,Active,
SUB-AD654B,75E01264,pro ,,Active,
SUB-CF86A5,5086675C,Basic,236.0335730380579,Churned,2023/10/08
SUB-AF13B1,6DFA8BED,Pro,537.8168084864498,Active,
SUB-766BFD,3AFA56EC,Basic,204.54651703224962,Active,
SUB-B37AB9,64E3709C,  Basic ,189.63319964237004,Active,
