company_id,company_name,industry,country,employee_count,signup_date
BA3F5002,Corp_BA3F5002,Retail,CA,,2021-10-09
404E70EC,Corp_404E70EC,Healthcare,MX,249.0,2021-04-15
75799216,Corp_75799216,Retail, MEXICO,122.0,2022-03-09
47B61FD5,Corp_47B61FD5,Technology,US,279.0,2021-08-27
03FB03D7,Corp_03FB03D7,Manufacturing,US,454.0,2023-01-04
4F8D43D2,Corp_4F8D43D2,Retail, MEXICO,103.0,2022-04-05
13A96DE2,Corp_13A96DE2,Manufacturing,CO,103.0,2021-01-07
484B9122,Corp_484B9122,,UK,465.0,2021-12-15
D41E74A2,Corp_D41E74A2,Finance,UK,303.0,2023-02-21
53719ABE,Corp_53719ABE,Finance,CA,56.0,2021-04-10
D608BFDF,Corp_D608BFDF,Finance,ES,258.0,2023-04-07
A0BAE5EE,Corp_A0BAE5EE,Technology,usa,57.0,2023-09-24
2A94AEEC,Corp_2A94AEEC,Education,CA,56.0,2023-04-30
6E900F63,Corp_6E900F63,Retail,ES,198.0,2022-12-23
516A4E15,Corp_516A4E15,Technology,US,232.0,2023-03-03
5B2C92E2,Corp_5B2C92E2,Finance,CA,194.0,2023-06-07
8A8300DB,Corp_8A8300DB,Technology,us,37.0,2022-10-13
F2F3190A,Corp_F2F3190A,,ES,52.0,2021-12-30
863BDB80,Corp_863BDB80,Healthcare,CO,212.0,2022-12-01
E30D1260,Corp_E30D1260,Retail,CA,31.0,2021-06-25
2580BB34,Corp_2580BB34,Manufacturing,MX,132.0,2022-01-24
8950488A,Corp_8950488A,Finance, MEXICO,443.0,2021-11-29
9229C9E2,Corp_9229C9E2,,US,104.0,2021-02-02
7761D152,Corp_7761D152,,ES,163.0,2021-03-09
6F0BE295,Corp_6F0BE295,Healthcare,ES,134.0,2022-05-27
E58EB7FF,Corp_E58EB7FF,Education,usa,41.0,2021-05-23
AC9F08BE,Corp_AC9F08BE,Healthcare, MEXICO,172.0,2023-02-04
4734F915,Corp_4734F915,Manufacturing,us,80.0,2022-02-13
E71C6465,Corp_E71C6465,Finance,MX,225.0,2021-05-22
7C738344,Corp_7C738344,Manufacturing,usa,29.0,2021-02-18
65F4D956,Corp_65F4D956,,CA,91.0,2021-06-13
